country_name_whr,year,happiness_score,country_iso3,social_spending_pct_gdp,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct,civic_engagement_score,health_score,housing_score,job_security_score,safety_score,work_life_balance_score
Australia,2018,7.2,AUS,1.4,Australia,57647.8,34.3,5.3,2.7,83.0,19.4,3.1,67.0,12.5
Australia,2020,7.2,AUS,1.4,Australia,57260.5,33.8,6.4,2.7,83.0,19.4,3.1,67.0,12.5
Austria,2015,7.1,AUT,1.4,Austria,60951.7,30.5,5.8,1.3,82.0,20.8,2.3,86.0,5.3
Austria,2016,7.0,AUT,1.4,Austria,61572.7,30.8,6.1,1.3,82.0,20.8,2.3,86.0,5.3
Austria,2017,7.1,AUT,1.4,Austria,62535.9,29.7,5.6,1.3,82.0,20.8,2.3,86.0,5.3
Austria,2018,7.2,AUT,1.4,Austria,63778.0,30.8,4.9,1.3,82.0,20.8,2.3,86.0,5.3
Austria,2019,7.3,AUT,1.4,Austria,64609.4,30.2,4.6,1.3,82.0,20.8,2.3,86.0,5.3
Austria,2020,7.3,AUT,1.4,Austria,60276.4,29.8,5.2,1.3,82.0,20.8,2.3,86.0,5.3
Austria,2021,7.2,AUT,1.4,Austria,62968.9,30.7,6.5,1.3,82.0,20.8,2.3,86.0,5.3
Belgium,2015,6.9,BEL,1.9,Belgium,57509.0,27.7,8.5,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2016,6.9,BEL,1.9,Belgium,57901.5,27.6,7.8,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2017,6.9,BEL,1.9,Belgium,58529.3,27.4,7.1,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2018,6.9,BEL,1.9,Belgium,59357.7,27.2,5.9,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2019,6.9,BEL,1.8,Belgium,60480.0,27.2,5.4,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2020,6.8,BEL,2.0,Belgium,57333.5,26.0,5.5,2.0,82.1,20.0,2.4,56.0,4.3
Belgium,2021,6.8,BEL,1.9,Belgium,60669.2,26.6,6.2,2.0,82.1,20.0,2.4,56.0,4.3
Bulgaria,2021,5.4,BGR,0.1,Bulgaria,30959.1,39.0,5.2,,,,,,
Bulgaria,2022,5.5,BGR,0.1,Bulgaria,32433.8,38.2,4.1,,,,,,
Canada,2015,7.4,CAN,5.2,Canada,55660.9,33.7,6.9,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2016,7.3,CAN,5.3,Canada,55606.2,32.7,7.0,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2017,7.3,CAN,6.0,Canada,56612.3,33.3,6.4,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2018,7.3,CAN,6.0,Canada,57337.5,32.5,5.8,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2019,7.2,CAN,6.0,Canada,57583.8,31.8,5.7,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2020,7.1,CAN,6.2,Canada,54092.9,29.9,9.7,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2021,7.0,CAN,5.6,Canada,56995.1,31.1,7.5,2.9,82.1,22.9,3.8,78.0,3.3
Canada,2022,7.0,CAN,5.1,Canada,58321.1,31.5,5.3,2.9,82.1,22.9,3.8,78.0,3.3
Chile,2015,6.7,CHL,0.6,Chile,27811.4,45.3,6.6,1.3,80.6,18.4,7.0,41.0,7.7
Chile,2017,6.5,CHL,0.6,Chile,27893.0,45.3,7.3,1.3,80.6,18.4,7.0,41.0,7.7
Chile,2020,6.2,CHL,0.6,Chile,26248.6,47.0,10.9,1.3,80.6,18.4,7.0,41.0,7.7
Chile,2022,6.3,CHL,0.7,Chile,29569.5,43.2,8.2,1.3,80.6,18.4,7.0,41.0,7.7
Colombia,2015,6.5,COL,0.6,Colombia,16821.4,52.0,8.6,1.4,76.7,,,50.0,23.7
Colombia,2016,6.4,COL,0.6,Colombia,17003.2,51.7,8.9,1.4,76.7,,,50.0,23.7
Colombia,2017,6.3,COL,0.6,Colombia,16986.0,50.9,9.1,1.4,76.7,,,50.0,23.7
Colombia,2018,6.1,COL,0.6,Colombia,17104.1,51.6,9.4,1.4,76.7,,,50.0,23.7
Colombia,2019,6.2,COL,0.7,Colombia,17336.8,52.5,10.3,1.4,76.7,,,50.0,23.7
Colombia,2020,6.0,COL,0.7,Colombia,15861.5,54.4,16.0,1.4,76.7,,,50.0,23.7
Colombia,2021,5.8,COL,0.7,Colombia,17383.1,55.1,13.9,1.4,76.7,,,50.0,23.7
Colombia,2022,5.6,COL,0.7,Colombia,18458.7,54.8,10.5,1.4,76.7,,,50.0,23.7
Colombia,2023,5.7,COL,0.7,Colombia,18383.0,54.6,9.6,1.4,76.7,,,50.0,23.7
Costa Rica,2015,7.1,CRI,0.3,Costa Rica,21254.8,48.4,8.4,1.8,80.5,17.0,,47.0,22.0
Costa Rica,2016,7.1,CRI,0.3,Costa Rica,21925.6,48.7,8.1,1.8,80.5,17.0,,47.0,22.0
Costa Rica,2017,7.1,CRI,0.4,Costa Rica,22622.6,48.3,7.7,1.8,80.5,17.0,,47.0,22.0
Costa Rica,2018,7.2,CRI,0.5,Costa Rica,23005.3,48.0,9.0,1.8,80.5,17.0,,47.0,22.0
Costa Rica,2019,7.1,CRI,0.5,Costa Rica,23364.8,48.2,10.8,1.8,80.5,17.0,,47.0,22.0
Costa Rica,2020,7.1,CRI,0.5,Costa Rica,22211.9,49.2,16.4,1.8,80.5,17.0,,47.0,22.0
Costa Rica,2021,6.6,CRI,0.6,Costa Rica,23852.9,48.7,15.1,1.8,80.5,17.0,,47.0,22.0
Costa Rica,2022,6.6,CRI,0.6,Costa Rica,24831.7,47.2,11.3,1.8,80.5,17.0,,47.0,22.0
Croatia,2020,5.9,HRV,0.7,Croatia,32493.3,29.5,7.4,,,,,,
Croatia,2021,6.1,HRV,0.7,Croatia,36930.3,28.9,7.5,,,,,,
Czechia,2015,6.6,CZE,0.2,Czechia,42066.6,25.9,5.0,1.6,79.3,23.4,2.3,77.0,4.5
Czechia,2016,6.6,CZE,0.2,Czechia,43069.5,25.4,4.0,1.6,79.3,23.4,2.3,77.0,4.5
Czechia,2017,6.7,CZE,0.3,Czechia,45177.5,24.9,2.9,1.6,79.3,23.4,2.3,77.0,4.5
Czechia,2018,6.9,CZE,0.3,Czechia,46301.1,25.0,2.2,1.6,79.3,23.4,2.3,77.0,4.5
Czechia,2019,6.9,CZE,0.3,Czechia,47763.6,25.3,2.0,1.6,79.3,23.4,2.3,77.0,4.5
Czechia,2020,7.0,CZE,0.3,Czechia,45119.9,26.2,2.6,1.6,79.3,23.4,2.3,77.0,4.5
Czechia,2021,6.9,CZE,0.4,Czechia,47796.0,26.2,2.8,1.6,79.3,23.4,2.3,77.0,4.5
Denmark,2015,7.5,DNK,2.0,Denmark,62405.7,28.2,6.3,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2016,7.5,DNK,1.8,Denmark,63823.5,28.2,6.0,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2017,7.6,DNK,1.7,Denmark,65352.4,28.7,5.8,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2018,7.6,DNK,1.5,Denmark,66238.7,28.2,5.1,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2019,7.6,DNK,1.5,Denmark,67131.5,27.7,5.0,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2020,7.6,DNK,1.8,Denmark,65744.4,27.5,5.6,2.0,81.5,23.3,4.5,85.0,1.1
Denmark,2021,7.6,DNK,1.5,Denmark,69715.2,28.3,5.1,2.0,81.5,23.3,4.5,85.0,1.1
Estonia,2015,5.5,EST,0.1,Estonia,36356.4,32.7,6.4,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2016,5.6,EST,0.1,Estonia,37470.0,31.2,6.9,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2017,5.7,EST,0.1,Estonia,39533.5,30.4,5.8,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2018,5.9,EST,0.1,Estonia,40853.6,30.3,5.4,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2019,6.0,EST,0.1,Estonia,42219.0,30.8,4.5,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2020,6.2,EST,0.1,Estonia,40920.5,30.7,7.0,2.7,78.8,17.0,5.4,79.0,2.2
Estonia,2021,6.3,EST,0.1,Estonia,44251.5,31.8,6.2,2.7,78.8,17.0,5.4,79.0,2.2
