country_name_whr,year,happiness_score,country_iso3,social_spending_pct_gdp,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct,civic_engagement_score,health_score,housing_score,job_security_score,safety_score,work_life_balance_score
Afghanistan,2015,3.36,AFG,,Afghanistan,2967.692067153,,9.032,,,,,,
Afghanistan,2016,3.794,AFG,,Afghanistan,2958.7853992308,,10.116,,,,,,
Afghanistan,2017,3.632,AFG,,Afghanistan,2952.99891598909,,11.184,,,,,,
Afghanistan,2018,3.203,AFG,,Afghanistan,2902.39211285546,,11.192,,,,,,
Afghanistan,2019,2.56690001487732,AFG,,Afghanistan,2927.2451435353,,11.187,,,,,,
Afghanistan,2020,2.523,AFG,,Afghanistan,2769.68574507111,,11.71,,,,,,
Afghanistan,2021,2.404,AFG,,Afghanistan,2144.16657002819,,12.006,,,,,,
Afghanistan,2022,1.859,AFG,,Afghanistan,1981.71016810561,,14.1,,,,,,
Afghanistan,2023,1.721,AFG,,Afghanistan,1983.81261992909,,14.008,,,,,,
Albania,2015,4.655,ALB,,Albania,13876.81917653,32.8,17.193,,,,,,
Albania,2016,4.644,ALB,,Albania,14643.4892877063,33.7,15.418,,,,,,
Albania,2017,4.586,ALB,,Albania,15359.4611530571,33.1,13.616,,,,,,
Albania,2018,4.719,ALB,,Albania,16170.990493278,30.1,12.304,,,,,,
Albania,2019,4.88269996643066,ALB,,Albania,16761.1925261726,30.1,11.466,,,,,,
Albania,2020,5.117,ALB,,Albania,16457.7872245882,29.4,11.639,,,,,,
Albania,2021,5.199,ALB,,Albania,18212.8702466686,,11.474,,,,,,
Albania,2022,5.277,ALB,,Albania,19388.8731331744,,10.785,,,,,,
Albania,2023,5.304,ALB,,Albania,20481.0358398226,,10.669,,,,,,
Algeria,2015,6.355,DZA,,Algeria,15239.5171456469,,11.206,,,,,,
Algeria,2016,5.872,DZA,,Algeria,15511.6858768094,,10.202,,,,,,
Algeria,2017,5.295,DZA,,Algeria,15427.6641894713,,12.0,,,,,,
Algeria,2018,5.211,DZA,,Algeria,15343.4261222434,,12.112,,,,,,
Algeria,2019,5.00509977340698,DZA,,Algeria,15199.1989965639,,12.302,,,,,,
Algeria,2020,4.887,DZA,,Algeria,14194.1557479619,,14.08,,,,,,
Algeria,2021,5.122,DZA,,Algeria,14496.8654697299,,13.656,,,,,,
Algeria,2022,5.329,DZA,,Algeria,14782.2002970247,,12.382,,,,,,
Algeria,2023,5.364,DZA,,Algeria,15159.3242373415,,11.645,,,,,,
Angola,2015,3.866,AGO,,Angola,11392.9059344932,,16.472,,,,,,
Angola,2016,3.795,AGO,,Angola,10805.7122533667,,16.572,,,,,,
Angola,2017,3.795,AGO,,Angola,10414.2358842987,,16.617,,,,,,
Argentina,2015,6.65,ARG,,Argentina,28669.2061336796,,7.577,,,,,,
Argentina,2016,6.599,ARG,,Argentina,27802.1057201498,42.3,8.088,,,,,,
Argentina,2017,6.388,ARG,,Argentina,28334.904184742,41.4,8.347,,,,,,
Argentina,2018,6.086,ARG,,Argentina,27367.115094108,41.7,9.22,,,,,,
Argentina,2019,5.97469997406006,ARG,,Argentina,26629.5529419501,43.3,9.843,,,,,,
Argentina,2020,5.929,ARG,,Argentina,23877.0931404855,42.7,11.461,,,,,,
Argentina,2021,5.967,ARG,,Argentina,26300.274261175,42.4,8.736,,,,,,
Argentina,2022,6.024,ARG,,Argentina,27825.0273492567,40.7,6.805,,,,,,
Argentina,2023,6.188,ARG,,Argentina,27230.3968496682,42.4,6.139,,,,,,
Armenia,2015,4.36,ARM,,Armenia,13112.7600902915,32.4,18.261,,,,,,
Armenia,2016,4.376,ARM,,Armenia,13192.9940731731,32.5,17.617,,,,,,
Armenia,2017,4.321,ARM,,Armenia,14243.8749003795,33.6,17.704,,,,,,
Armenia,2018,4.559,ARM,,Armenia,15037.0452420712,34.4,18.966,,,,,,
Armenia,2019,4.67679977416992,ARM,,Armenia,16215.3607965094,30.0,18.304,,,,,,
Armenia,2020,5.283,ARM,,Armenia,15052.9359791136,25.1,18.175,,,,,,
Armenia,2021,5.399,ARM,,Armenia,15921.705281964,27.9,15.469,,,,,,
Armenia,2022,5.342,ARM,,Armenia,17886.1783877168,27.9,13.451,,,,,,
Armenia,2023,5.455,ARM,,Armenia,19402.7510915578,27.2,12.405,,,,,,
Australia,2015,7.313,AUS,,Australia,55879.9958817103,,6.055,2.7,83.0,19.4,3.1,67.0,12.5
Australia,2016,7.284,AUS,,Australia,56529.951824687,33.7,5.711,2.7,83.0,19.4,3.1,67.0,12.5
