country_name_whr,year,happiness_score,country_name_wdi_key
Finland,2023,7.741,Finland
Denmark,2023,7.583,Denmark
Iceland,2023,7.525,Iceland
Sweden,2023,7.344,Sweden
Israel,2023,7.341,Israel
Netherlands,2023,7.319,Netherlands
Norway,2023,7.302,Norway
Luxembourg,2023,7.122,Luxembourg
Switzerland,2023,7.06,Switzerland
Australia,2023,7.057,Australia
New Zealand,2023,7.029,New Zealand
Costa Rica,2023,6.955,Costa Rica
Kuwait,2023,6.951,Kuwait
Austria,2023,6.905,Austria
Canada,2023,6.9,Canada
Belgium,2023,6.894,Belgium
Ireland,2023,6.838,Ireland
Czechia,2023,6.822,Czechia
Lithuania,2023,6.818,Lithuania
United Kingdom,2023,6.749,United Kingdom
Slovenia,2023,6.743,Slovenia
United Arab Emirates,2023,6.733,United Arab Emirates
United States,2023,6.725,United States
Germany,2023,6.719,Germany
Mexico,2023,6.678,Mexico
Uruguay,2023,6.611,Uruguay
France,2023,6.609,France
Saudi Arabia,2023,6.594,Saudi Arabia
Kosovo,2023,6.561,Kosovo
Singapore,2023,6.523,Singapore
Taiwan Province of China,2023,6.503,Taiwan Province of China
Romania,2023,6.491,Romania
El Salvador,2023,6.469,El Salvador
Estonia,2023,6.448,Estonia
Poland,2023,6.442,Poland
Spain,2023,6.421,Spain
Serbia,2023,6.411,Serbia
Chile,2023,6.36,Chile
Panama,2023,6.358,Panama
Malta,2023,6.346,Malta
Italy,2023,6.324,Italy
Guatemala,2023,6.287,Guatemala
Nicaragua,2023,6.284,Nicaragua
Brazil,2023,6.272,Brazil
Slovakia,2023,6.257,Slovak Republic
Latvia,2023,6.234,Latvia
Uzbekistan,2023,6.195,Uzbekistan
Argentina,2023,6.188,Argentina
Kazakhstan,2023,6.188,Kazakhstan
Cyprus,2023,6.068,Cyprus
Japan,2023,6.06,Japan
Republic of Korea,2023,6.058,"Korea, Rep."
Philippines,2023,6.048,Philippines
Viet Nam,2023,6.043,Viet Nam
Portugal,2023,6.03,Portugal
Hungary,2023,6.017,Hungary
Paraguay,2023,5.977,Paraguay
Thailand,2023,5.976,Thailand
Malaysia,2023,5.975,Malaysia
China,2023,5.973,China
Honduras,2023,5.968,Honduras
Bahrain,2023,5.959,Bahrain
