country_iso3,year,country_name,gdp_per_capita_ppp_constant_2021_intl_dollars,gini_index,unemployment_rate_pct
ABW,2015,Aruba,36660.6,,
ABW,2016,Aruba,36832.9,,
ABW,2017,Aruba,38116.8,,
ABW,2018,Aruba,39278.8,,
ABW,2019,Aruba,39652.6,,
ABW,2020,Aruba,30347.6,,
ABW,2021,Aruba,35104.8,,
ABW,2022,Aruba,38979.8,,
ABW,2023,Aruba,41964.8,,
AFE,2015,Africa Eastern and Southern,4206.3,,6.9
AFE,2016,Africa Eastern and Southern,4202.2,,7.1
AFE,2017,Africa Eastern and Southern,4214.4,,7.2
AFE,2018,Africa Eastern and Southern,4220.9,,7.2
AFE,2019,Africa Eastern and Southern,4195.9,,7.5
AFE,2020,Africa Eastern and Southern,3978.9,,8.0
AFE,2021,Africa Eastern and Southern,4056.1,,8.4
AFE,2022,Africa Eastern and Southern,4106.5,,7.9
AFE,2023,Africa Eastern and Southern,4084.0,,7.7
AFG,2015,Afghanistan,2967.7,,9.0
AFG,2016,Afghanistan,2958.8,,10.1
AFG,2017,Afghanistan,2953.0,,11.2
AFG,2018,Afghanistan,2902.4,,11.2
AFG,2019,Afghanistan,2927.2,,11.2
AFG,2020,Afghanistan,2769.7,,11.7
AFG,2021,Afghanistan,2144.2,,12.0
AFG,2022,Afghanistan,1981.7,,14.1
AFG,2023,Afghanistan,1983.8,,14.0
AFW,2015,Africa Western and Central,6185.2,,4.2
AFW,2016,Africa Western and Central,6026.2,,4.2
AFW,2017,Africa Western and Central,5999.7,,4.3
AFW,2018,Africa Western and Central,6016.3,,4.3
AFW,2019,Africa Western and Central,6059.6,,4.4
AFW,2020,Africa Western and Central,5687.8,,4.8
AFW,2021,Africa Western and Central,5691.0,,4.7
AFW,2022,Africa Western and Central,5806.2,,3.6
AFW,2023,Africa Western and Central,5875.0,,3.2
AGO,2015,Angola,11392.9,,16.5
AGO,2016,Angola,10805.7,,16.6
AGO,2017,Angola,10414.2,,16.6
AGO,2018,Angola,10000.9,51.3,16.6
AGO,2019,Angola,9648.0,,16.5
AGO,2020,Angola,8960.3,,16.7
AGO,2021,Angola,8862.3,,15.8
AGO,2022,Angola,8950.1,,14.1
AGO,2023,Angola,8788.3,,14.1
ALB,2015,Albania,13876.8,32.8,17.2
ALB,2016,Albania,14643.5,33.7,15.4
ALB,2017,Albania,15359.5,33.1,13.6
ALB,2018,Albania,16171.0,30.1,12.3
ALB,2019,Albania,16761.2,30.1,11.5
ALB,2020,Albania,16457.8,29.4,11.6
ALB,2021,Albania,18212.9,,11.5
ALB,2022,Albania,19388.9,,10.8
ALB,2023,Albania,20481.0,,10.7
AND,2015,Andorra,62105.2,,
AND,2016,Andorra,64402.8,,
AND,2017,Andorra,63239.7,,
AND,2018,Andorra,63048.6,,
AND,2019,Andorra,63215.9,,
AND,2020,Andorra,55488.5,,
AND,2021,Andorra,59332.2,,
AND,2022,Andorra,63913.4,,
AND,2023,Andorra,64631.3,,
ARB,2015,Arab World,16371.1,,11.2
ARB,2016,Arab World,16606.2,,10.9
ARB,2017,Arab World,16542.6,,11.1
ARB,2018,Arab World,16723.8,,10.7
ARB,2019,Arab World,16782.4,,10.2
ARB,2020,Arab World,15739.0,,11.3
ARB,2021,Arab World,16164.7,,10.9
ARB,2022,Arab World,16905.5,,9.7
ARB,2023,Arab World,16802.3,,9.3
ARE,2015,United Arab Emirates,75238.6,,1.8
ARE,2016,United Arab Emirates,75671.1,,1.6
ARE,2017,United Arab Emirates,72529.1,,2.5
ARE,2018,United Arab Emirates,72671.1,26.4,2.2
ARE,2019,United Arab Emirates,72823.0,,2.3
ARE,2020,United Arab Emirates,66808.6,,4.3
ARE,2021,United Arab Emirates,68580.1,,3.1
ARE,2022,United Arab Emirates,70075.6,,2.9
ARE,2023,United Arab Emirates,70239.9,,2.2
ARG,2015,Argentina,28669.2,,7.6
ARG,2016,Argentina,27802.1,42.3,8.1
ARG,2017,Argentina,28334.9,41.4,8.3
ARG,2018,Argentina,27367.1,41.7,9.2
ARG,2019,Argentina,26629.6,43.3,9.8
ARG,2020,Argentina,23877.1,42.7,11.5
ARG,2021,Argentina,26300.3,42.4,8.7
ARG,2022,Argentina,27825.0,40.7,6.8
ARG,2023,Argentina,27230.4,42.4,6.1
ARM,2015,Armenia,13112.8,32.4,18.3
ARM,2016,Armenia,13193.0,32.5,17.6
